Full Match,Start Time,Account_id,Player,Fantasy Points,Kills,Deaths,Assists,Hero Damage,Hero Healing,Last Hits,Denies,GPM,XPM,Tow,Tower Damage,Ros,TF,Obs Placed,Camps Stacked,Ru,FB,Stuns,Hero,Game Length,Total Kills,FPPM,Lane,Hero Pic,LH@10,Level,Sent Placed,Obs Killed,Sent Killed,Lane Eff,Lane Role,Role
5024814442,2019-09-15,73885855,Icarus.Simbelmÿne,12.8,5,6,18,28846,947,334,21,444,591,2,3263,0,0.74,0,1,6,0,38.42021,Night Stalker,3595,83,0.2136,3,/apps/dota2/images/heroes/night_stalker_full.png?,50,25,0,1,1,0.7920772169716469,3,3
5024814442,2019-09-15,81134415,Madsen | St. Alessia,12.7,12,7,7,42148,0,568,43,658,670,1,3925,0,0.61,0,0,5,0,19.300293,Slark,3595,83,0.212,1,/apps/dota2/images/heroes/slark_full.png?,58,25,1,1,0,0.7432133521013473,1,1
5024814442,2019-09-15,241787545,Elpie,11.3,5,10,13,35903,0,541,5,557,666,0,1903,0,0.58,1,0,13,0,31.843872,Pangolier,3595,83,0.1886,2,/apps/dota2/images/heroes/pangolier_full.png?,31,25,1,1,0,0.5495676653931229,2,2
5024814442,2019-09-15,64790625,deluxaran,6.5,7,17,14,21378,0,88,7,334,403,1,137,0,0.68,3,0,4,0,0.0,Silencer,3595,83,0.1085,3,/apps/dota2/images/heroes/silencer_full.png?,4,23,7,1,2,0.3430524834104162,3,4
5024814442,2019-09-15,58547001,Dani,20.9,2,12,14,17515,6381,50,3,270,359,0,111,0,0.52,23,0,7,0,108.65369,Witch Doctor,3595,83,0.3488,1,/apps/dota2/images/heroes/witch_doctor_full.png?,6,22,35,5,7,0.2865473557208928,1,5
5024814442,2019-09-15,87664114,T-Reds,19.8,6,7,25,28050,776,238,3,408,519,2,684,0,0.6,1,0,11,1,89.84251,Sand King,3595,83,0.3305,1,/apps/dota2/images/heroes/sand_king_full.png?,8,25,5,1,1,0.4248944299215765,3,4
5024814442,2019-09-15,315792033,Tanjirou Kamado,32.7,26,2,14,51986,125,306,24,587,747,2,7126,1,0.77,1,1,22,0,170.39644,Windranger,3595,83,0.5458,2,/apps/dota2/images/heroes/windrunner_full.png?,48,25,1,0,0,0.8622561833903076,2,2
5024814442,2019-09-15,11508499,Dolemite,23.7,16,6,18,43417,3057,579,13,706,754,6,9947,0,0.65,0,1,7,0,86.34363,Wraith King,3595,83,0.3955,3,/apps/dota2/images/heroes/skeleton_king_full.png?,25,25,0,0,1,0.5582143575306656,1,1
5024814442,2019-09-15,86724549,skin gaming,9.9,3,6,30,20999,0,201,15,356,480,0,1992,0,0.63,0,1,3,0,65.38489,Centaur Warrunner,3595,83,0.1652,1,/apps/dota2/images/heroes/centaur_full.png?,24,25,0,1,1,0.3963402372813191,3,3
5024814442,2019-09-15,102193388,Basi1eus,18.1,1,10,25,12939,5146,60,1,328,481,0,72,0,0.5,24,0,3,0,54.999756,Winter Wyvern,3595,83,0.3021,3,/apps/dota2/images/heroes/winter_wyvern_full.png?,4,25,35,5,7,0.34828071586567466,1,5
5024785649,2019-09-15,127733940,zaergaegyr,20.2,9,6,18,64097,7938,510,13,758,791,5,9310,0,0.79,0,1,5,0,81.4505,Wraith King,2814,87,0.4307,1,/apps/dota2/images/heroes/skeleton_king_full.png?,42,25,0,0,0,0.6068771365373015,1,1
