Full Match,Start Time,Account_id,Player,Fantasy Points,Kills,Deaths,Assists,Hero Damage,Hero Healing,Last Hits,Denies,GPM,XPM,Tow,Tower Damage,Ros,TF,Obs Placed,Camps Stacked,Ru,FB,Stuns,Hero,Game Length,Total Kills,FPPM,Lane,Hero Pic,LH@10,Level,Sent Placed,Obs Killed,Sent Killed,Lane Eff,Lane Role,Role
4986461644,2019-08-25,19672354,N0tail,13.9,3,3,11,6657,9489,17,3,239,352,0,285,0,0.7,4,3,3,1,0,Abaddon,1474,31,0.5658,1,/apps/dota2/images/heroes/abaddon_full.png?,4,13,7,1,1,0.34405791272873515,1,5
4986461644,2019-08-25,311360822,ana,8.5,3,1,16,20175,11395,182,3,460,602,0,561,0,0.95,0,0,2,0,1.7727051,Io,1474,31,0.346,1,/apps/dota2/images/heroes/wisp_full.png?,48,18,0,0,0,0.5831490046249749,1,1
4986461644,2019-08-25,26771994,JerAx,13.6,2,3,13,10229,425,34,1,251,396,0,787,0,0.75,8,1,3,0,56.202606,Tiny,1474,31,0.5536,1,/apps/dota2/images/heroes/tiny_full.png?,6,14,5,1,0,0.2664387693545144,1,4
4986461644,2019-08-25,88271237,Ceb,7.7,2,3,9,17666,2855,156,6,430,500,1,1644,0,0.55,0,0,4,0,0,Timbersaw,1474,31,0.3134,3,/apps/dota2/images/heroes/shredder_full.png?,64,16,0,0,0,0.7112406997788056,3,3
4986461644,2019-08-25,94054712,Topson,16.1,10,2,7,31685,0,201,21,593,605,2,3989,0,0.85,0,2,4,0,46.15381,Gyrocopter,1474,31,0.6554,2,/apps/dota2/images/heroes/gyrocopter_full.png?,60,18,0,0,0,0.6836919364568671,2,2
4986461644,2019-08-25,105248644,Miracle-,7.7,3,3,3,32019,0,135,14,407,351,1,2239,0,0.55,0,0,3,0,0,Bristleback,1474,31,0.3134,1,/apps/dota2/images/heroes/bristleback_full.png?,50,13,0,0,0,0.6945505730947115,3,1
4986461644,2019-08-25,34505203,MinD_ContRoL,4.8,0,3,3,7191,4898,117,2,401,382,0,879,0,0.27,0,0,3,0,0,Omniknight,1474,31,0.1954,3,/apps/dota2/images/heroes/omniknight_full.png?,64,14,1,2,0,0.7800120651518199,1,3
4986461644,2019-08-25,82262664,KuroKy,11.0,4,5,6,5603,4892,23,1,217,267,0,1194,0,0.91,9,0,1,0,5.838379,Chen,1474,31,0.4478,1,/apps/dota2/images/heroes/chen_full.png?,1,11,10,0,1,0.35612306454856224,3,5
4986461644,2019-08-25,101356886,Gh,8.9,1,5,8,11716,1332,30,0,217,216,1,382,0,0.82,2,0,6,0,13.027808,Earth Spirit,1474,31,0.3623,1,/apps/dota2/images/heroes/earth_spirit_full.png?,0,9,1,0,1,0.26181379449024733,3,4
4986461644,2019-08-25,86700461,w33,10.6,3,4,4,16873,0,98,13,366,352,2,474,1,0.64,0,1,1,0,22.951124,Windranger,1474,31,0.4315,2,/apps/dota2/images/heroes/windrunner_full.png?,43,13,0,0,0,0.6802734767745827,2,2
4986362254,2019-08-25,105248644,Miracle-,5.9,1,7,7,8153,2052,103,13,328,367,0,95,0,0.73,0,2,2,0,0,Juggernaut,1403,47,0.2523,1,/apps/dota2/images/heroes/juggernaut_full.png?,50,13,0,1,1,0.6245726925397145,1,1
4986362254,2019-08-25,34505203,MinD_ContRoL,4.2,2,12,7,9585,0,57,4,237,294,0,0,0,0.82,0,0,0,0,20.945824,Tidehunter,1403,47,0.1796,3,/apps/dota2/images/heroes/tidehunter_full.png?,25,11,1,1,0,0.4691333199276091,3,3
4986362254,2019-08-25,82262664,KuroKy,10.2,2,6,6,7589,0,6,4,206,281,0,19,0,0.73,8,0,1,0,31.111328,Ogre Magi,1403,47,0.4362,1,/apps/dota2/images/heroes/ogre_magi_full.png?,2,11,12,0,1,0.33862859440981297,1,5
4986362254,2019-08-25,101356886,Gh,8.7,3,5,8,14263,0,38,2,239,290,0,0,0,1.0,1,0,2,0,34.19123,Rubick,1403,47,0.3721,3,/apps/dota2/images/heroes/rubick_full.png?,9,11,4,1,0,0.38206314096119043,3,4
4986362254,2019-08-25,86700461,w33,5.3,3,6,3,9795,0,156,10,407,490,0,0,0,0.55,0,0,1,0,0,Templar Assassin,1403,47,0.2267,2,/apps/dota2/images/heroes/templar_assassin_full.png?,52,15,0,1,0,0.6533279710436356,2,2
4986362254,2019-08-25,19672354,N0tail,12.7,3,4,19,8756,730,38,6,364,433,1,293,0,0.61,8,2,2,0,16.16421,Grimstroke,1403,47,0.5431,3,/apps/dota2/images/heroes/grimstroke_full.png?,13,14,14,3,2,0.39493263623567265,1,5
4986362254,2019-08-25,311360822,ana,11.5,6,1,14,10716,0,146,26,569,565,2,3525,0,0.56,0,0,3,0,18.504911,Faceless Void,1403,47,0.4918,3,/apps/dota2/images/heroes/faceless_void_full.png?,45,17,0,0,1,0.7114417856424693,1,1
4986362254,2019-08-25,26771994,JerAx,15.3,6,1,22,13013,420,25,0,345,449,0,331,0,0.78,4,0,11,0,58.24316,Tiny,1403,47,0.6543,1,/apps/dota2/images/heroes/tiny_full.png?,9,15,6,0,2,0.4285139754675246,3,4
4986362254,2019-08-25,88271237,Ceb,8.2,4,2,12,16982,2384,85,7,459,514,1,3219,1,0.44,0,0,0,0,2.006836,Enchantress,1403,47,0.3507,1,/apps/dota2/images/heroes/enchantress_full.png?,44,16,0,0,0,0.6092901669012668,3,3
4986362254,2019-08-25,94054712,Topson,19.9,17,3,11,26684,791,117,17,617,606,3,7514,0,0.78,0,0,7,1,0,Pugna,1403,47,0.851,2,/apps/dota2/images/heroes/pugna_full.png?,48,17,0,0,0,0.8896038608485823,2,2
4986260666,2019-08-25,105248644,Miracle-,5.8,2,6,2,11900,0,228,13,468,477,1,1178,0,0.36,0,0,1,0,0,Lifestealer,1945,51,0.1789,1,/apps/dota2/images/heroes/life_stealer_full.png?,49,18,0,0,0,0.7259199678262618,1,1
4986260666,2019-08-25,34505203,MinD_ContRoL,6.0,1,12,6,10099,0,118,7,280,301,0,0,0,0.64,1,2,3,0,24.007889,Tidehunter,1945,51,0.1851,3,/apps/dota2/images/heroes/tidehunter_full.png?,36,14,2,1,0,0.5429318318922179,3,3
4986260666,2019-08-25,82262664,KuroKy,10.7,2,8,4,11174,400,41,3,202,244,0,0,0,0.55,10,0,1,0,40.80786,Shadow Shaman,1945,51,0.3301,1,/apps/dota2/images/heroes/shadow_shaman_full.png?,7,13,18,2,2,0.2905690729941685,1,5
4986260666,2019-08-25,101356886,Gh,12.5,2,6,7,17070,0,154,4,314,337,1,698,0,0.82,2,4,4,0,41.778023,Enigma,1945,51,0.3856,2,/apps/dota2/images/heroes/enigma_full.png?,59,15,5,1,2,0.5805348883973457,2,4
4986260666,2019-08-25,86700461,w33,6.1,3,8,5,15175,0,236,9,464,583,0,284,0,0.73,0,1,1,0,0,Templar Assassin,1945,51,0.1882,2,/apps/dota2/images/heroes/templar_assassin_full.png?,52,20,2,0,2,0.6468932234063945,2,2
4986260666,2019-08-25,19672354,N0tail,17.0,4,3,19,9675,0,102,3,410,508,0,385,0,0.57,11,6,5,0,22.062551,Grimstroke,1945,51,0.5244,3,/apps/dota2/images/heroes/grimstroke_full.png?,14,19,23,1,7,0.4162477377840338,1,5
4986260666,2019-08-25,311360822,ana,22.0,12,2,20,34568,425,228,12,622,702,3,3140,0,0.8,1,0,7,1,48.38304,Ember Spirit,1945,51,0.6787,3,/apps/dota2/images/heroes/ember_spirit_full.png?,46,22,0,2,4,0.7609089081037603,1,1
4986260666,2019-08-25,26771994,JerAx,12.9,4,2,14,11536,0,52,5,333,527,0,177,0,0.45,3,1,10,0,51.992287,Tiny,1945,51,0.3979,1,/apps/dota2/images/heroes/tiny_full.png?,6,19,4,0,0,0.3201286949527448,3,4
4986260666,2019-08-25,88271237,Ceb,10.9,4,1,16,7134,8254,154,13,517,621,1,853,1,0.5,0,0,8,0,0,Omniknight,1945,51,0.3362,1,/apps/dota2/images/heroes/omniknight_full.png?,53,21,0,2,3,0.6792680474562638,3,3
4986260666,2019-08-25,94054712,Topson,16.4,16,3,18,31831,0,291,16,725,823,3,11674,0,0.85,0,0,1,0,26.871014,Monkey King,1945,51,0.5059,2,/apps/dota2/images/heroes/monkey_king_full.png?,76,24,3,3,1,0.8475769153428514,2,2
4986133311,2019-08-25,105248644,Miracle-,20.1,13,4,14,40013,0,489,13,729,633,6,11034,1,0.82,0,0,7,0,3.645752,Templar Assassin,2914,57,0.4139,2,/apps/dota2/images/heroes/templar_assassin_full.png?,73,25,1,0,2,0.8373215362959984,2,1
4986133311,2019-08-25,34505203,MinD_ContRoL,14.7,5,4,21,21338,3540,145,8,370,550,1,1104,0,0.79,0,0,9,0,91.14374,Tidehunter,2914,57,0.3027,3,/apps/dota2/images/heroes/tidehunter_full.png?,47,24,0,0,1,0.684697365775186,3,3
4986133311,2019-08-25,82262664,KuroKy,22.2,2,3,20,5583,14131,71,3,329,487,1,1049,0,0.67,22,4,5,0,27.473242,Chen,2914,57,0.4571,1,/apps/dota2/images/heroes/chen_full.png?,3,23,25,4,3,0.2779006635833501,1,5
4986133311,2019-08-25,101356886,Gh,15.6,4,8,21,22183,0,94,0,336,392,0,17,0,0.76,1,2,3,1,85.324326,Rubick,2914,57,0.3212,3,/apps/dota2/images/heroes/rubick_full.png?,5,21,10,3,1,0.38950331791675047,3,4
4986133311,2019-08-25,86700461,w33,27.1,9,5,7,34844,0,530,10,719,767,3,5657,2,0.48,0,2,18,0,158.71716,Meepo,2914,57,0.558,1,/apps/dota2/images/heroes/meepo_full.png?,71,25,0,1,1,0.7566861049668209,1,2
4986133311,2019-08-25,19672354,N0tail,22.6,1,6,16,17270,0,67,5,264,371,0,97,0,0.71,14,7,5,0,129.40308,Elder Titan,2914,57,0.4653,3,/apps/dota2/images/heroes/elder_titan_full.png?,10,20,32,1,0,0.30585159863261613,1,5
4986133311,2019-08-25,311360822,ana,15.0,8,4,12,76049,0,498,7,756,762,3,9184,1,0.83,0,1,3,0,0,Spectre,2914,57,0.3089,3,/apps/dota2/images/heroes/spectre_full.png?,64,25,0,1,0,0.7418057510557008,1,1
4986133311,2019-08-25,26771994,JerAx,12.4,2,5,14,26867,2666,132,2,299,387,1,3573,0,0.67,9,1,5,0,0,Pugna,2914,57,0.2553,1,/apps/dota2/images/heroes/pugna_full.png?,23,20,12,3,3,0.4194651116026543,3,4
4986133311,2019-08-25,88271237,Ceb,5.0,6,10,5,23719,3727,204,12,444,565,0,3967,0,0.46,0,0,1,0,0,Enchantress,2914,57,0.103,1,/apps/dota2/images/heroes/enchantress_full.png?,40,24,1,3,2,0.5926000402171727,3,3
4986133311,2019-08-25,94054712,Topson,18.0,7,8,12,49368,250,273,8,480,604,2,4713,0,0.79,0,0,9,0,137.70332,Tiny,2914,57,0.3706,2,/apps/dota2/images/heroes/tiny_full.png?,43,25,0,0,2,0.684697365775186,2,2
